service,method,path,controller_class,method_name
customer-service,POST,/customer|/customer/customers|/customers|/customers/customers,CustomerController,createCustomer
customer-service,POST,/customer|/customer/customers|/customers|/customers/customers [Idempotency-Key header],CustomerController,createCustomer [idempotent]
customer-service,GET,/customer/profile|/customers/profile,CustomerController,getProfile
customer-service,GET,/customer/profile/unified/{phone}|/customers/profile/unified/{phone},CustomerController,getUnifiedProfile
customer-service,GET,/customer/profile/{identifier}|/customers/profile/{identifier},CustomerController,getProfileByIdentifier
customer-service,POST,/customer/profile|/customers/profile,CustomerController,saveProfile
customer-service,PUT,/customer/profile/{identifier}|/customers/profile/{identifier},CustomerController,updateProfileByIdentifier
customer-service,GET,/customer/{customerId}|/customers/{customerId},CustomerController,getCustomer
customer-service,GET,/customer/by-phone|/customers/by-phone,CustomerController,getCustomerByPhone
customer-service,PUT,/customer/{customerId}|/customers/{customerId},CustomerController,updateCustomer
customer-service,DELETE,/customer/{customerId}|/customers/{customerId},CustomerController,deactivateCustomer
customer-service,POST,/customer/{customerId}/pets|/customers/{customerId}/pets,CustomerPetController,addPet
customer-service,POST,/customer/{customerId}/pets|/customers/{customerId}/pets [Idempotency-Key header],CustomerPetController,addPet [idempotent]
customer-service,POST,/pets,CustomerPetController,createPet
customer-service,POST,/pets [Idempotency-Key header],CustomerPetController,createPet [idempotent]
customer-service,POST,/customer/pets,CustomerPetController,replacePetsByPhone
customer-service,GET,/customer/{customerId}/pets|/customers/{customerId}/pets,CustomerPetController,getPets
customer-service,GET,/pets/customer/{customerId},CustomerPetController,getPetsByCustomer
customer-service,GET,/customer/pets/{phone:\d{10-15}}|/customer/pets,CustomerPetController,getPetsByPhone
customer-service,GET,/customer/pets/{petId:UUID},CustomerPetController,getCustomerPetById
customer-service,GET,/pets/{petId},CustomerPetController,getPetById
customer-service,GET,/customer/{phone}/pets/{petId},CustomerPetController,getPetByPhone
customer-service,PUT,/pets/{petId}|/customers/pets/{petId},CustomerPetController,updatePet
customer-service,PUT,/customer/{segment}/pets/{petId},CustomerPetController,updatePetByPhoneOrCustomerId
customer-service,DELETE,/pets/{petId}|/customers/pets/{petId},CustomerPetController,deletePet
customer-service,DELETE,/customer/{segment}/pets/{petId},CustomerPetController,deletePetByPhoneOrCustomerId
customer-service,GET,/customer/{phone}/pets/{petId}/bookings,CustomerPetController,getPetBookingsByPhone
customer-service,POST,/customer/{customerId}/addresses|/customers/{customerId}/addresses,CustomerAddressController,createAddress
customer-service,POST,/customer/{customerId}/addresses|/customers/{customerId}/addresses [Idempotency-Key header],CustomerAddressController,createAddress [idempotent]
customer-service,POST,/customer/addresses|/customers/addresses,CustomerAddressController,createAddressByPhone
customer-service,POST,/customer/addresses|/customers/addresses [Idempotency-Key header],CustomerAddressController,createAddressByPhone [idempotent]
customer-service,GET,/customer/{customerId}/addresses|/customers/{customerId}/addresses,CustomerAddressController,getAddresses
customer-service,GET,/customer/addresses|/customers/addresses,CustomerAddressController,getAddressesByPhone
customer-service,GET,/customer/addresses/{addressId}|/customers/addresses/{addressId},CustomerAddressController,getAddress
