table_name,kind,est_rows,total_mb,table_mb,index_mb,toast_mb,pk_columns,fk_out_count,fk_in_count,index_count,trigger_count,name_tag,domains
analytics_events,table,61972480,25.57,33.49,0.04,NaN,id,1,1,7,0,,Analytics
audit_logs,table,9363456,7.68,1.11,0.14,NaN,id,0,0,5,0,,Other
analytics_sessions,table,2727936,1.12,1.33,0.16,NaN,id,0,1,4,0,,Analytics
vendor_services,table,1810432,0.55,1.13,0.04,NaN,id,1,1,11,3,,Vendor
notifications,table,1523712,1.20,0.22,0.04,0.00,id,0,1,3,0,,Notifications
notification_delivery_log,table,1245184,0.67,0.48,0.04,NaN,id,1,0,5,0,,Notifications
vendors,table,1179648,0.26,0.73,0.13,NaN,id,4,105,19,0,,Vendor
vendor_onboarding_applications,table,1122304,0.16,0.08,0.84,NaN,id,2,0,5,0,,Vendor
processed_events,table,1105920,0.65,0.37,0.04,0.00,id,0,0,3,0,,Other
bookings,table,1040384,0.36,0.58,0.05,NaN,id,8,42,31,4,,Booking
search_index,table,819200,0.57,0.16,0.05,0.00,id,0,0,2,0,,Search
otp_tokens,table,786432,0.27,0.44,0.04,NaN,id,0,0,6,0,,Other
vendor_availability_v2,table,770048,0.34,0.36,0.04,NaN,id,1,0,10,0,Enhanced/Versioned,Vendor
vendor_admin_portal_codes,table,704512,0.34,0.30,0.03,NaN,id,2,0,4,0,,Vendor
vendor_earnings,table,696320,0.50,0.13,0.04,NaN,id,0,0,8,0,,Vendor
service_catalog,table,548864,0.18,0.31,0.03,NaN,id,2,0,10,0,,Other
role_permissions,table,442368,0.09,0.30,0.04,0.00,id,1,0,4,0,,RBAC
onboarding_forms,table,425984,0.13,0.08,0.20,0.00,id,0,0,3,0,,Other
customers,table,425984,0.10,0.19,0.12,NaN,id,1,77,10,0,,Customer
pets,table,385024,0.16,0.02,0.19,NaN,id,1,18,1,0,,Customer
notification_campaign_deliveries,table,344064,0.11,0.18,0.04,0.00,id,1,0,4,0,,Notifications
vendor_identity,table,344064,0.09,0.20,0.04,NaN,id,2,3,9,0,,Vendor
services,table,335872,0.22,0.07,0.03,NaN,id,2,4,3,0,,Other
