table_name,est_rows,exact_count,count_source
analytics_events,61972480,100794,COUNT
audit_logs,9363456,5037,COUNT
analytics_sessions,2727936,3311,COUNT
vendor_services,1810432,2340,COUNT
notifications,1523712,3116,COUNT
notification_delivery_log,1245184,2112,COUNT
vendors,1179648,179,COUNT
vendor_onboarding_applications,1122304,179,COUNT
processed_events,1105920,2515,COUNT
bookings,1040384,530,COUNT
search_index,819200,1365,COUNT
otp_tokens,786432,2277,COUNT
vendor_availability_v2,770048,970,COUNT
vendor_admin_portal_codes,704512,1133,COUNT
vendor_earnings,696320,205,COUNT
service_catalog,548864,373,COUNT
role_permissions,442368,806,COUNT
onboarding_forms,425984,48,COUNT
customers,425984,240,COUNT
pets,385024,172,COUNT
notification_campaign_deliveries,344064,935,COUNT
vendor_identity,344064,244,COUNT
services,335872,410,COUNT
auth_operation_rate_events,311296,662,COUNT
payments,311296,486,COUNT
vendor_specializations,311296,796,COUNT
meal_orders,311296,26,COUNT
vendor_onboarding_transitions,311296,654,COUNT
pharmacy_orders,303104,12,COUNT
support_tickets,303104,70,COUNT
roles,286720,39,COUNT
device_tokens,270336,215,COUNT
customer_admin_portal_codes,253952,309,COUNT
content_pages,245760,12,COUNT
platform_settings,237568,15,COUNT
customer_identity,237568,269,COUNT
loyalty_transactions,237568,699,COUNT
specialization_master,221184,54,COUNT
specialization_symptoms,204800,218,COUNT
package_purchases,204800,15,COUNT
video_call_sessions,196608,64,COUNT
vendor_refund_tiers,196608,26,COUNT
gps_tracking_sessions,188416,21,COUNT
platform_policies,188416,4,COUNT
error_case_occurrences,180224,378,COUNT
meal_plans,172032,4,COUNT
problem_grid_mappings,163840,70,COUNT
loyalty_action_rules,163840,28,COUNT
vendor_wallet_transactions,163840,226,COUNT
customer_loyalty_points,155648,361,COUNT
customer_addresses,155648,199,COUNT
banners,147456,6,COUNT
admins,147456,6,COUNT
prescriptions,147456,8,COUNT
package_scheduled_sessions,147456,171,COUNT
service_categories,147456,27,COUNT
discovery_rules,147456,41,COUNT
ai_booking_wizard_sessions,139264,45,COUNT
wallet_transactions,139264,302,COUNT
meal_refund_cases,131072,5,COUNT
vendor_referrals,131072,,estimate_only
reviews,131072,,estimate_only
ai_chatbot_conversations,131072,,estimate_only
regions,122880,,estimate_only
action_sources,122880,,estimate_only
vendor_daily_accrual,122880,,estimate_only
products,122880,,estimate_only
vendor_bank_details,122880,,estimate_only
customer_profile_completion,122880,,estimate_only
gps_location_history,122880,,estimate_only
support_ticket_responses,122880,,estimate_only
support_ticket_activity,122880,,estimate_only
delivery_tracking,122880,,estimate_only
medical_records,114688,,estimate_only
pidge_hyperlocal_webhook_events,114688,,estimate_only
banner_clicks,114688,,estimate_only
product_error_cases,114688,,estimate_only
customer_subscriptions,114688,,estimate_only
chat_messages,114688,,estimate_only
loyalty_segments,114688,,estimate_only
vendor_tiers,98304,,estimate_only
vendor_wallets,98304,,estimate_only
diagnostic_tests,98304,,estimate_only
product_skus,98304,,estimate_only
payouts,98304,,estimate_only
tax_categories,98304,,estimate_only
sample_collection_assignments,90112,,estimate_only
customer_segment_assignments,90112,,estimate_only
vendor_breaks,90112,,estimate_only
pet_listings,90112,,estimate_only
user_roles,90112,,estimate_only
service_packages,81920,,estimate_only
reward_catalog_links,81920,,estimate_only
reward_redemptions,81920,,estimate_only
logistics_partners,81920,,estimate_only
meal_subscription_deliveries,81920,,estimate_only
settlements,81920,,estimate_only
delivery_settlements,81920,,estimate_only
ecommerce_policies,81920,,estimate_only
coupons,81920,,estimate_only
gst_rules,81920,,estimate_only
support_agents,81920,,estimate_only
referral_redemptions,81920,,estimate_only
training_skills,81920,,estimate_only
package_usage_log,81920,,estimate_only
notification_templates_enhanced,73728,,estimate_only
notification_campaigns,73728,,estimate_only
customer_referrals,73728,,estimate_only
meal_subscriptions,73728,,estimate_only
cancellation_policies,65536,,estimate_only
hsn_codes,65536,,estimate_only
scheduling_policies,65536,,estimate_only
promotions,65536,,estimate_only
ecommerce_commission_settings,65536,,estimate_only
vendor_bank_accounts,65536,,estimate_only
prescription_submissions,65536,,estimate_only
commission_tiers,65536,,estimate_only
meal_rider_reassign_requests,65536,,estimate_only
medicine_orders,65536,,estimate_only
diagnostic_bookings,65536,,estimate_only
admin_ai_audit,65536,,estimate_only
platform_tax_products,65536,,estimate_only
referrals,65536,,estimate_only
dating_profiles_pet,65536,,estimate_only
support_reply_templates,65536,,estimate_only
holiday_bookings,65536,,estimate_only
pharmacy_broadcasts,65536,,estimate_only
invoices,65536,,estimate_only
notification_logs,65536,,estimate_only
deliveries,57344,,estimate_only
tax_category_roles,57344,,estimate_only
holiday_packages,57344,,estimate_only
delivery_location_history,57344,,estimate_only
user_subscriptions,57344,,estimate_only
dating_matches,57344,,estimate_only
booking_policies,57344,,estimate_only
staff_availability_per_style,57344,,estimate_only
breeder_profiles,57344,,estimate_only
nutrition_consultation_requests,57344,,estimate_only
adoption_center_profiles,57344,,estimate_only
pet_inquiries,57344,,estimate_only
staff,57344,,estimate_only
groomer_gallery,57344,,estimate_only
booking_cancellation_rules,57344,,estimate_only
return_requests,57344,,estimate_only
logistics_rules,49152,,estimate_only
mating_appointments,49152,,estimate_only
ui_configs,49152,,estimate_only
refund_tiers,49152,,estimate_only
admin_settings,49152,,estimate_only
gst_configs,49152,,estimate_only
payment_gateway_settings,49152,,estimate_only
payout_rules,49152,,estimate_only
booking_rules,49152,,estimate_only
cafe_tables,49152,,estimate_only
rbac_policies,49152,,estimate_only
platform_integrations,49152,,estimate_only
banner_analytics,49152,,estimate_only
service_style_mappings,49152,,estimate_only
subscriptions,49152,,estimate_only
package_milestones,49152,,estimate_only
audit_trail,49152,,estimate_only
spotlight_offers,49152,,estimate_only
dating_meetups,49152,,estimate_only
payout_policies,49152,,estimate_only
tele_sessions,49152,,estimate_only
tele_queues,49152,,estimate_only
rbac_audit_logs,49152,,estimate_only
advertising_campaigns,49152,,estimate_only
ad_impressions,49152,,estimate_only
ad_clicks,49152,,estimate_only
performance_metrics,49152,,estimate_only
optimization_tasks,49152,,estimate_only
video_call_rooms,49152,,estimate_only
vendor_portfolio,49152,,estimate_only
vendor_subscription_plans,49152,,estimate_only
customer_payment_methods,49152,,estimate_only
pet_skill_progress,49152,,estimate_only
customer_provider_history,49152,,estimate_only
customer_deactivation_requests,49152,,estimate_only
rewards_catalog,49152,,estimate_only
delivery_partners,49152,,estimate_only
delivery_routes,49152,,estimate_only
notification_state_transitions,49152,,estimate_only
refunds,49152,,estimate_only
loyalty_rules,49152,,estimate_only
ecommerce_categories,49152,,estimate_only
notification_campaign_events,49152,,estimate_only
diagnostic_reports,49152,,estimate_only
platform_tax_documents,49152,,estimate_only
adoption_applications,40960,,estimate_only
pidge_support_tickets,40960,,estimate_only
ad_budget_transactions,40960,,estimate_only
user_devices,40960,,estimate_only
insurance_claims,40960,,estimate_only
vendor_setup_completion,40960,,estimate_only
pharmacy_quotes,40960,,estimate_only
scheduled_notifications,40960,,estimate_only
walk_routes,40960,,estimate_only
package_sessions,40960,,estimate_only
ad_performance_analytics,40960,,estimate_only
booking_staff_assignments,40960,,estimate_only
ambulance_vehicles,40960,,estimate_only
orders,40960,,estimate_only
vendor_policies,40960,,estimate_only
product_policies,40960,,estimate_only
vendor_segment_assignments,40960,,estimate_only
ecommerce_loyalty_pending_awards,40960,,estimate_only
rbac_permissions_catalog,40960,,estimate_only
pricing_rules,40960,,estimate_only
vendor_registered_brands,40960,,estimate_only
notification_channel_settings,40960,,estimate_only
dating_analytics,40960,,estimate_only
customer_wallets,40960,,estimate_only
shipments,40960,,estimate_only
dating_chat_messages,40960,,estimate_only
policy_acceptances,40960,,estimate_only
service_publishing,40960,,estimate_only
spotlight_analytics,40960,,estimate_only
gst_configurations,40960,,estimate_only
dating_profiles_owner,40960,,estimate_only
wallet_checkout_rules,40960,,estimate_only
post_service_payments,40960,,estimate_only
pet_vaccination_reminder_log,32768,,estimate_only
boarding_facilities,32768,,estimate_only
gps_tracking_points,32768,,estimate_only
vendor_tier_subscriptions,32768,,estimate_only
mating_requests,32768,,estimate_only
shopping_carts,32768,,estimate_only
booking_status_history,32768,,estimate_only
booking_state_transitions,32768,,estimate_only
subscription_tiers,32768,,estimate_only
platform_tier_onboarding,32768,,estimate_only
shipment_tracking_events,32768,,estimate_only
walker_live_sessions,32768,,estimate_only
vendor_category_commission_rates,32768,,estimate_only
training_session_skills,32768,,estimate_only
booking_status_transitions,32768,,estimate_only
automation_jobs,32768,,estimate_only
customer_compliance_issues,32768,,estimate_only
vendor_discounts,32768,,estimate_only
pidge_partial_delivery_workflows,32768,,estimate_only
vendor_documents,32768,,estimate_only
notification_segments,32768,,estimate_only
notification_campaign_templates,32768,,estimate_only
support_routing_settings,32768,,estimate_only
boarding_rooms,32768,,estimate_only
referral_program_settings,32768,,estimate_only
vendor_onboarding_comments,32768,,estimate_only
vendor_onboarding_steps,32768,,estimate_only
vendor_payment_rules,32768,,estimate_only
subscription_plans,32768,,estimate_only
video_call_history,32768,,estimate_only
settlement_rules,32768,,estimate_only
vendor_holidays_enhanced,32768,,estimate_only
wishlists,24576,,estimate_only
support_sla_config,24576,,estimate_only
vendor_commission_config,24576,,estimate_only
report_templates,24576,,estimate_only
platform_tax_document_lines,24576,,estimate_only
meal_subscription_payments,24576,,estimate_only
support_categories,24576,,estimate_only
popular_searches,24576,,estimate_only
customer_tiers,24576,,estimate_only
search_analytics,24576,,estimate_only
cache_tokens,24576,,estimate_only
subscription_payments,24576,,estimate_only
product_commission_overrides,24576,,estimate_only
notification_templates,24576,,estimate_only
payment_timeout_rules,24576,,estimate_only
coupon_usages,24576,,estimate_only
no_show_policies,24576,,estimate_only
rescheduling_policies,24576,,estimate_only
payment_retry_log,24576,,estimate_only
subscription_deliveries,24576,,estimate_only
google_maps_settings,24576,,estimate_only
schema_migrations,24576,,estimate_only
coupon_usage,24576,,estimate_only
aws_settings,24576,,estimate_only
notification_campaign_cities,24576,,estimate_only
order_item_commission,24576,,estimate_only
order_items,24576,,estimate_only
support_escalation_rules,24576,,estimate_only
notification_segment_rules,24576,,estimate_only
item_stats,24576,,estimate_only
staff_availability,16384,,estimate_only
reminder_queue,16384,,estimate_only
featured_vendors,16384,,estimate_only
health_checks,16384,,estimate_only
cache_stats,16384,,estimate_only
search_history,16384,,estimate_only
vendor_stats,16384,,estimate_only
zero_result_searches,16384,,estimate_only
staff_certifications,16384,,estimate_only
package_services,16384,,estimate_only
notification_campaign_regions,16384,,estimate_only
bank_verifications,16384,,estimate_only
notification_campaign_users,16384,,estimate_only
tax_flexible_rules,16384,,estimate_only
notification_segment_targets,16384,,estimate_only
platform_revenue,16384,,estimate_only
settlement_schedules,16384,,estimate_only
vendor_service_areas,16384,,estimate_only
refund_rules,16384,,estimate_only
disputes,16384,,estimate_only
pending_reschedules,16384,,estimate_only
staff_services,16384,,estimate_only
staff_specializations,16384,,estimate_only
booking_limits,16384,,estimate_only
staff_schedules,16384,,estimate_only
payment_history,8192,,estimate_only
pending_payouts,8192,,estimate_only
emergency_booking_queue,8192,,estimate_only
