table_name,column_name,ordinal,data_type,udt_name,nullable,default,is_identity,is_generated,null_frac,n_distinct,in_pk,fk_target
action_sources,id,1,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,0,-1,Y,
action_sources,source_type,2,text,text,NO,'http'::text,NO,NEVER,0,1,N,
action_sources,route_pattern,3,text,text,NO,,NO,NEVER,0,-0.6410256624221802,N,
action_sources,method,4,text,text,NO,,NO,NEVER,0,2,N,
action_sources,status_min,5,integer,int4,NO,200,NO,NEVER,0,1,N,
action_sources,status_max,6,integer,int4,NO,299,NO,NEVER,0,1,N,
action_sources,success_predicate,7,text,text,YES,,NO,NEVER,0,-0.5384615659713745,N,
action_sources,action_name,8,text,text,NO,,NO,NEVER,0,-0.5897436141967773,N,
action_sources,entity_resolver,9,text,text,NO,,NO,NEVER,0,-0.3589743673801422,N,
action_sources,entity_type,10,text,text,NO,'auto'::text,NO,NEVER,0,3,N,
action_sources,amount_resolver,11,text,text,YES,,NO,NEVER,0.38461539149284363,-0.20512820780277252,N,
action_sources,reference_type,12,text,text,YES,,NO,NEVER,0.05128205195069313,-0.4615384638309479,N,
action_sources,reference_id_resolver,13,text,text,YES,,NO,NEVER,0.05128205195069313,-0.5641025900840759,N,
action_sources,metadata_resolvers,14,jsonb,jsonb,NO,'{}'::jsonb,NO,NEVER,0,2,N,
action_sources,enabled,15,boolean,bool,NO,true,NO,NEVER,0,2,N,
action_sources,priority,16,integer,int4,NO,100,NO,NEVER,0,-0.3333333432674408,N,
action_sources,dry_run,17,boolean,bool,NO,false,NO,NEVER,0,1,N,
action_sources,notes,18,text,text,YES,,NO,NEVER,0.025641025975346565,-0.8974359035491943,N,
action_sources,created_at,19,timestamp with time zone,timestamptz,YES,now(),NO,NEVER,0,-1,N,
action_sources,updated_at,20,timestamp with time zone,timestamptz,YES,now(),NO,NEVER,0,-0.9487179517745972,N,
ad_budget_transactions,id,1,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,,,Y,
ad_budget_transactions,campaign_id,2,uuid,uuid,NO,,NO,NEVER,,,N,advertising_campaigns.id
ad_budget_transactions,vendor_id,3,uuid,uuid,NO,,NO,NEVER,,,N,vendors.id
ad_budget_transactions,transaction_type,4,text,text,NO,,NO,NEVER,,,N,
ad_budget_transactions,amount,5,numeric,numeric,NO,,NO,NEVER,,,N,
ad_budget_transactions,currency,6,text,text,YES,'INR'::text,NO,NEVER,,,N,
ad_budget_transactions,click_id,7,uuid,uuid,YES,,NO,NEVER,,,N,ad_clicks.id
ad_budget_transactions,impression_id,8,uuid,uuid,YES,,NO,NEVER,,,N,ad_impressions.id
ad_budget_transactions,description,9,text,text,YES,,NO,NEVER,,,N,
ad_budget_transactions,created_at,10,timestamp with time zone,timestamptz,YES,now(),NO,NEVER,,,N,
ad_clicks,id,1,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,,,Y,
ad_clicks,campaign_id,2,uuid,uuid,NO,,NO,NEVER,,,N,advertising_campaigns.id
ad_clicks,impression_id,3,uuid,uuid,YES,,NO,NEVER,,,N,ad_impressions.id
ad_clicks,vendor_id,4,uuid,uuid,NO,,NO,NEVER,,,N,vendors.id
ad_clicks,click_type,5,text,text,NO,,NO,NEVER,,,N,
ad_clicks,target_id,6,uuid,uuid,YES,,NO,NEVER,,,N,
ad_clicks,target_type,7,text,text,YES,,NO,NEVER,,,N,
ad_clicks,customer_id,8,uuid,uuid,YES,,NO,NEVER,,,N,customers.id
ad_clicks,session_id,9,text,text,YES,,NO,NEVER,,,N,
ad_clicks,ip_address,10,text,text,YES,,NO,NEVER,,,N,
ad_clicks,user_agent,11,text,text,YES,,NO,NEVER,,,N,
ad_clicks,referrer,12,text,text,YES,,NO,NEVER,,,N,
ad_clicks,location,13,jsonb,jsonb,YES,,NO,NEVER,,,N,
ad_clicks,converted,14,boolean,bool,YES,false,NO,NEVER,,,N,
ad_clicks,conversion_type,15,text,text,YES,,NO,NEVER,,,N,
ad_clicks,conversion_value,16,numeric,numeric,YES,,NO,NEVER,,,N,
ad_clicks,converted_at,17,timestamp with time zone,timestamptz,YES,,NO,NEVER,,,N,
ad_clicks,clicked_at,18,timestamp with time zone,timestamptz,YES,now(),NO,NEVER,,,N,
ad_impressions,id,1,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,,,Y,
ad_impressions,campaign_id,2,uuid,uuid,NO,,NO,NEVER,,,N,advertising_campaigns.id
ad_impressions,vendor_id,3,uuid,uuid,NO,,NO,NEVER,,,N,vendors.id
ad_impressions,impression_type,4,text,text,NO,,NO,NEVER,,,N,
ad_impressions,target_id,5,uuid,uuid,YES,,NO,NEVER,,,N,
ad_impressions,target_type,6,text,text,YES,,NO,NEVER,,,N,
ad_impressions,customer_id,7,uuid,uuid,YES,,NO,NEVER,,,N,customers.id
ad_impressions,session_id,8,text,text,YES,,NO,NEVER,,,N,
ad_impressions,ip_address,9,text,text,YES,,NO,NEVER,,,N,
ad_impressions,user_agent,10,text,text,YES,,NO,NEVER,,,N,
ad_impressions,location,11,jsonb,jsonb,YES,,NO,NEVER,,,N,
ad_impressions,impressed_at,12,timestamp with time zone,timestamptz,YES,now(),NO,NEVER,,,N,
ad_performance_analytics,id,1,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,,,Y,
ad_performance_analytics,campaign_id,2,uuid,uuid,NO,,NO,NEVER,,,N,advertising_campaigns.id
ad_performance_analytics,vendor_id,3,uuid,uuid,NO,,NO,NEVER,,,N,vendors.id
ad_performance_analytics,date,4,date,date,NO,,NO,NEVER,,,N,
ad_performance_analytics,impressions,5,integer,int4,YES,0,NO,NEVER,,,N,
ad_performance_analytics,clicks,6,integer,int4,YES,0,NO,NEVER,,,N,
ad_performance_analytics,conversions,7,integer,int4,YES,0,NO,NEVER,,,N,
ad_performance_analytics,spend,8,numeric,numeric,YES,0,NO,NEVER,,,N,
ad_performance_analytics,revenue,9,numeric,numeric,YES,0,NO,NEVER,,,N,
ad_performance_analytics,ctr,10,numeric,numeric,YES,0,NO,NEVER,,,N,
ad_performance_analytics,cpc,11,numeric,numeric,YES,0,NO,NEVER,,,N,
ad_performance_analytics,cpm,12,numeric,numeric,YES,0,NO,NEVER,,,N,
ad_performance_analytics,conversion_rate,13,numeric,numeric,YES,0,NO,NEVER,,,N,
ad_performance_analytics,roas,14,numeric,numeric,YES,0,NO,NEVER,,,N,
ad_performance_analytics,created_at,15,timestamp with time zone,timestamptz,YES,now(),NO,NEVER,,,N,
ad_performance_analytics,updated_at,16,timestamp with time zone,timestamptz,YES,now(),NO,NEVER,,,N,
admin_ai_audit,id,1,uuid,uuid,NO,,NO,NEVER,,,Y,
admin_ai_audit,admin_principal_id,2,text,text,NO,,NO,NEVER,,,N,
admin_ai_audit,route,3,text,text,NO,,NO,NEVER,,,N,
admin_ai_audit,tool_names,4,text,text,YES,,NO,NEVER,,,N,
admin_ai_audit,request_id,5,text,text,YES,,NO,NEVER,,,N,
admin_ai_audit,created_at,6,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,,,N,
admin_ai_audit,latency_ms,7,integer,int4,YES,,NO,NEVER,,,N,
admin_ai_audit,outcome,8,text,text,NO,,NO,NEVER,,,N,
admin_ai_audit,prompt_hash,9,text,text,YES,,NO,NEVER,,,N,
admin_ai_audit,message_len,10,integer,int4,YES,,NO,NEVER,,,N,
admin_settings,id,1,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,0,-1,Y,
admin_settings,setting_category,2,text,text,NO,,NO,NEVER,0,-0.1818181872367859,N,
admin_settings,setting_key,3,text,text,NO,,NO,NEVER,0,-1,N,
admin_settings,setting_value,4,jsonb,jsonb,NO,,NO,NEVER,0,-0.5,N,
admin_settings,description,5,text,text,YES,,NO,NEVER,0.13636364042758942,-0.8636363744735718,N,
admin_settings,is_active,6,boolean,bool,YES,true,NO,NEVER,0,1,N,
admin_settings,created_at,7,timestamp with time zone,timestamptz,YES,now(),NO,NEVER,0,-1,N,
admin_settings,updated_at,8,timestamp with time zone,timestamptz,YES,now(),NO,NEVER,0,-1,N,
admins,id,1,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,0,-1,Y,
admins,phone,2,character varying,varchar,YES,,NO,NEVER,0.8333333134651184,-0.1666666865348816,N,
admins,email,3,character varying,varchar,NO,,NO,NEVER,0,-1,N,
admins,name,4,character varying,varchar,NO,,NO,NEVER,0,-0.8333333134651184,N,
admins,password_hash,5,character varying,varchar,YES,,NO,NEVER,0,-1,N,
admins,role,6,character varying,varchar,YES,'admin'::character varying,NO,NEVER,0,-0.3333333432674408,N,
admins,permissions,7,jsonb,jsonb,YES,'{}'::jsonb,NO,NEVER,0,-0.1666666716337204,N,
admins,is_active,8,boolean,bool,YES,true,NO,NEVER,0,-0.1666666716337204,N,
admins,last_login_at,9,timestamp without time zone,timestamp,YES,,NO,NEVER,0.3333333432674408,-0.6666666269302368,N,
admins,created_at,10,timestamp without time zone,timestamp,YES,now(),NO,NEVER,0,-1,N,
admins,updated_at,11,timestamp without time zone,timestamp,YES,now(),NO,NEVER,0,-1,N,
admins,admin_role_id,12,uuid,uuid,YES,,NO,NEVER,0.5,-0.3333333432674408,N,roles.id
adoption_applications,id,1,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,,,Y,
adoption_applications,booking_id,2,uuid,uuid,NO,,NO,NEVER,,,N,bookings.id
adoption_applications,customer_id,3,uuid,uuid,NO,,NO,NEVER,,,N,customers.id
adoption_applications,pet_id,4,uuid,uuid,NO,,NO,NEVER,,,N,
adoption_applications,application_status,5,text,text,NO,'pending'::text,NO,NEVER,,,N,
adoption_applications,application_data,6,jsonb,jsonb,NO,,NO,NEVER,,,N,
adoption_applications,submitted_at,7,timestamp with time zone,timestamptz,YES,now(),NO,NEVER,,,N,
adoption_applications,reviewed_at,8,timestamp with time zone,timestamptz,YES,,NO,NEVER,,,N,
adoption_applications,reviewed_by,9,uuid,uuid,YES,,NO,NEVER,,,N,
adoption_applications,approval_reason,10,text,text,YES,,NO,NEVER,,,N,
adoption_applications,rejection_reason,11,text,text,YES,,NO,NEVER,,,N,
adoption_applications,completed_at,12,timestamp with time zone,timestamptz,YES,,NO,NEVER,,,N,
adoption_applications,created_at,13,timestamp with time zone,timestamptz,YES,now(),NO,NEVER,,,N,
adoption_applications,updated_at,14,timestamp with time zone,timestamptz,YES,now(),NO,NEVER,,,N,
adoption_center_profiles,id,1,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,,,Y,
adoption_center_profiles,center_id,2,text,text,NO,,NO,NEVER,,,N,
adoption_center_profiles,vendor_id,3,uuid,uuid,NO,,NO,NEVER,,,N,vendors.id
adoption_center_profiles,center_name,4,text,text,NO,,NO,NEVER,,,N,
adoption_center_profiles,registration_number,5,text,text,YES,,NO,NEVER,,,N,
adoption_center_profiles,type,6,text,text,NO,,NO,NEVER,,,N,
adoption_center_profiles,years_active,7,integer,int4,YES,0,NO,NEVER,,,N,
adoption_center_profiles,location,8,jsonb,jsonb,NO,'{}'::jsonb,NO,NEVER,,,N,
adoption_center_profiles,contact,9,jsonb,jsonb,NO,'{}'::jsonb,NO,NEVER,,,N,
adoption_center_profiles,capacity,10,integer,int4,YES,50,NO,NEVER,,,N,
adoption_center_profiles,current_animals,11,integer,int4,YES,0,NO,NEVER,,,N,
adoption_center_profiles,animal_types,12,jsonb,jsonb,NO,'[]'::jsonb,NO,NEVER,,,N,
adoption_center_profiles,services,13,jsonb,jsonb,NO,'[]'::jsonb,NO,NEVER,,,N,
adoption_center_profiles,adoption_process,14,jsonb,jsonb,NO,'{}'::jsonb,NO,NEVER,,,N,
