vendor_id,is_deleted,business_name,account_mask,ifsc_code,bank_name
2a3f4458-2248-4345-9644-fd49d41e4c42,true,shreesha vet solo,****9159,CNRB0000538,Canara Bank
9b317726-35ff-4c8e-8440-686f73af4002,true,shresha groming center,****9159,CNRB0000538,Canara Bank
c417e259-a4db-4d5f-9a2f-9a4dc0daa524,true,shreesha center,****9159,CNRB0000538,Canara Bank
4c9feda8-6d19-4142-9fd8-83a3d30ef56d,true,shreesha training ,****9159,CNRB0000538,Canara Bank
1e24896a-6b5b-4136-a9be-2d75b6f8eda7,true,Praveen pet nutrition,****2601,KARB0000040,Karnataka Bank
54d6e1fd-4a82-49f1-93a3-5a51fcd912cd,true,Praveen pet nutrition solo ,****2601,KARB0000040,Karnataka Bank
bb4617a7-cd1c-4772-9f78-543d1b39dec4,true,Default Pet Nutrition solo ,****9159,CNRB0000538,Canara Bank
7281e035-e79c-4fad-94cb-fcb6e51e8957,true,Praveen vet solo ,****2601,KARB0000040,Karnataka Bank
1c806803-756a-4197-89f0-432280c91095,true,Praveen groomer solo ,****2601,KARB0000004,Karnataka Bank
1b20d8bb-370b-4a4d-9bae-58375d5c5497,true,Praveen vet clinic,****2601,KARB0000040,Karnataka Bank
a40d0c0c-e11b-4050-889e-b1810edf16f7,true,Prosperous Clinic_test,****8976,SBIN0011755,State Bank of India
a5a1479e-a60e-4e0a-93fc-790e923326df,true,Bindu Vet SOLO tester,****3190,HDFC0000286,HDFC Bank
