vendor_id,business_name,tier
"103229fb-8c1d-42c1-a9e8-1617af320ee6","Amigo Pet Hospital","Basic"
"3f547af7-b5a5-42d3-b704-9704e13730fe","Amigo Pet Hospital","Basic"
"191568e6-2139-4675-9cd4-adb95a27c8b5","Anand K9 Training Center","Bronze"
"6e0f8ea7-31ed-4242-b395-e995e17b3ed4","Babul Dusad","Bronze"
"5d89a94c-3ec3-4e2c-8b4d-855380c6d0dc","Bark and Brunch","Basic"
"a5a1479e-a60e-4e0a-93fc-790e923326df","Bindu Vet SOLO tester","Basic"
"a726ce29-dcb0-4231-8319-9d9029bb8d56","Brooke's canine home-by Suman.","Bronze"
"9b87f7da-4b7e-44da-9324-291ef79fb551","Cancure Pet Grooming ","Bronze"
"88ef2a61-8193-423e-a711-0da5fb3966e5","Cancure pet hospital","Bronze"
"e009b30b-43a1-4a8e-b366-0faba2834b4c","Canine Hub","Bronze"
"45104431-dca6-4073-ab8d-b20f5003d19e","CARE N CURE PET CLINIC","Basic"
"4a65e1f2-1bf5-4dbd-8715-1ae402faa3ae","Center","Basic"
"5d20bbe6-8851-43fd-bb16-396bf14b2104","Chanchan dog trainer ","Basic"
"401f03e3-1c9c-46a7-a9b9-b3d12b85268a","Curio Pets Clinic","Basic"
"2640db3a-ed16-4cbe-bb4d-709e7dc389ca","Deepak Walker","Bronze"
"c2f4a1a5-2288-46de-ae62-fbdfb957713a","Default Boading Center","Basic"
"e40864a6-4e4d-4136-8e00-f20ed9af020f","Default Nutrition Center","Basic"
"bb4617a7-cd1c-4772-9f78-543d1b39dec4","Default Pet Nutrition solo ","Basic"
"8fe4ac95-e7af-47e0-933a-543fdf0231eb","Default Training Center","Basic"
"342b7fd4-cd0b-499c-830c-bc99e4c6fb38","Default Training Solo Servicr","Basic"
"2ef165bd-9b9d-4dab-aab0-68548e33b7e1","Default Vet","Basic"
"1359f7e8-9bba-4fea-a2b0-05b8ffd6d7b8","Default Vet Clinic","Basic"
"6c78fd8a-82ce-48d1-b255-4d82da609473"," DevarajaTraining services ","Basic"
"e6b210c0-245a-4d19-9e88-2ce926d55350","Diya Pet Hospital","Basic"
"2ef6989c-1681-4aa6-8e18-9ee3d2fa00a7","Dogs Can Do It","Bronze"
"0aa5e23c-8ab8-420a-98c2-c4913ac1b211","Dr Manu","Bronze"
"37be67f8-474c-4d1c-a116-eb89f64e74e1","Flurry space pet care (Petzone)","Basic"
"a6db6389-7506-49b7-afed-70b493fa9ba0","Friendly Tails Pet Clinic","Bronze"
"040f49a3-58e9-4da3-a220-74e4c1ad5fb7","FriendlyTails Pet grooming","Bronze"
"863d5f9f-2cec-4792-9ea8-64c98059061c","Friendly tails pet hospital","Bronze"
"69e07429-76f5-449f-a417-f8242a505a12","Groomer","Basic"
"f64b1287-02e2-4316-9563-f9b30caf6b3b","Groomer","Basic"
"4f10c487-2b59-4db8-9844-cefaebfdc6da","groomer praveen","Basic"
"e73ea329-4f22-4eec-8806-e7b3841dbb9e","Grooming center ","Basic"
"51111e34-5327-4c7e-b46e-61eb9a7be4d8","Healing Tails","Bronze"
"cd93e9fb-d044-461a-8300-fb7e5f881a3c","Healing Tails Pet Hospital","Bronze"
"eb7a8a21-e7c7-4e45-8941-b41eb7c7542a","HEAMNG)__","Bronze"
"bbc1caa6-b39a-4c91-ad9b-43e6f509ecdc","hemang_Vet_CHANGED","Bronze"
"c9d11707-0947-4004-8246-02f36a76c876","infosys","Bronze"
